student_id,age,gender,socioeconomic_status,parent_education_level,attendance_rate,study_hours_per_week,quiz_average,assignment_submission_rate,engagement_index,financial_assistance,internet_access,learning_device_type,previous_grades,subject_difficulty,final_exam_score,preferred_learning_style,course_enrolled,interest_tags,pass_fail,risk_level,dropout_likelihood
1046,20.0,Female,Low,Graduate,0.54,7.4,69.5,0.87,0.63,Yes,Limited,Tablet,86.8,Moderate,66.1,Reading,BSIT,"Programming, AI",Fail,At Risk,0.66
1047,17.0,Female,Middle,High School,0.57,16.7,99.8,0.77,0.58,No,Limited,Laptop,73.9,Moderate,59.9,Reading,BSBA,"Leadership, Marketing",Fail,At Risk,0.67
1048,19.0,Female,Middle,College,0.5,7.9,93.8,0.69,0.68,Yes,Limited,Smartphone,89.6,Moderate,60.5,Visual,BSA,"Game Dev, Robotics",Fail,At Risk,0.66
1049,22.0,Female,Middle,Graduate,0.56,1.7,67.8,0.8,0.82,Yes,Stable,Smartphone,75.9,Moderate,84.3,Visual,BSIT,"Programming, AI",Pass,At Risk,0.54
1050,23.0,Male,Low,Elementary,0.74,16.8,77.4,0.73,0.8,No,Stable,Laptop,51.3,Moderate,53.4,Reading,BSIT,"Game Dev, Robotics",Fail,Moderate,0.41
1051,18.0,Female,Low,College,0.8,7.6,84.9,0.76,0.66,Yes,Stable,Laptop,80.4,Easy,78.5,Reading,BSIT,"Game Dev, Robotics",Pass,Moderate,0.47
1052,16.0,Female,Low,College,0.9,15.7,42.1,0.87,0.88,Yes,Stable,Smartphone,52.0,Hard,74.2,Kinesthetic,BSA,"Teaching, Research",Fail,Safe,0.21
1053,19.0,Male,Middle,High School,0.55,7.9,93.7,0.69,0.6,No,Limited,Tablet,70.3,Moderate,74.1,Reading,BSBA,"Game Dev, Robotics",Fail,At Risk,0.67
1054,17.0,Female,Middle,High School,0.93,17.4,91.6,0.42,0.93,No,Limited,Laptop,91.8,Moderate,79.8,Kinesthetic,BSED,"Teaching, Research",Pass,Safe,0.14
1055,23.0,Male,Low,College,0.87,5.2,67.4,0.5,0.35,No,Stable,Smartphone,57.4,Moderate,72.9,Reading,BSBA,"Accounting, Finance",Fail,Safe,0.7
1056,19.0,Female,High,High School,0.7,19.5,63.5,0.66,0.97,Yes,Stable,Desktop,67.5,Hard,92.8,Visual,BSIT,"Teaching, Research",Pass,Moderate,0.32
1057,17.0,Female,Middle,Graduate,0.97,15.8,56.4,0.83,0.76,No,Limited,Tablet,82.8,Easy,80.5,Kinesthetic,BSBA,"Leadership, Marketing",Pass,Safe,0.26
1058,21.0,Female,Low,High School,1.0,3.2,68.6,0.76,0.57,Yes,Stable,Laptop,89.7,Hard,72.8,Auditory,BSBA,"Programming, AI",Fail,Safe,0.43
1059,21.0,Male,Low,College,0.6,11.7,42.7,0.79,0.44,Yes,Stable,Smartphone,80.2,Moderate,89.8,Visual,BSED,"Accounting, Finance",Pass,At Risk,0.74
1060,25.0,Male,Low,High School,0.69,19.7,91.1,0.69,0.64,No,Stable,Laptop,61.6,Moderate,76.4,Kinesthetic,BSA,"Accounting, Finance",Pass,Moderate,0.56
1061,19.0,Female,High,College,0.96,10.0,42.1,0.77,0.44,Yes,Stable,Desktop,80.4,Moderate,57.5,Kinesthetic,BSA,"Leadership, Marketing",Fail,Safe,0.58
1062,21.0,Male,Middle,College,0.86,4.5,59.7,0.6,0.42,Yes,Stable,Laptop,63.4,Hard,52.4,Auditory,BSBA,"Teaching, Research",Fail,Safe,0.64
1063,17.0,Male,Middle,Elementary,0.52,10.2,95.9,0.68,0.73,No,Stable,Laptop,82.3,Moderate,49.1,Kinesthetic,BSBA,"Programming, AI",Fail,At Risk,0.62
1064,25.0,Male,Middle,Elementary,0.89,10.7,84.1,0.85,0.67,No,Stable,Smartphone,92.9,Moderate,94.0,Reading,BSA,"Teaching, Research",Pass,Safe,0.4
1065,17.0,Male,Middle,High School,0.91,15.1,56.9,0.92,0.77,No,Limited,Laptop,82.5,Moderate,82.6,Auditory,BSA,"Game Dev, Robotics",Pass,Safe,0.3
1066,25.0,Male,Middle,Elementary,0.88,14.3,55.2,0.66,0.95,Yes,Stable,Desktop,88.8,Moderate,96.2,Visual,BSED,"Teaching, Research",Pass,Safe,0.16
1067,19.0,Male,Low,Elementary,0.9,8.6,40.3,0.43,0.67,Yes,Limited,Desktop,50.1,Hard,76.2,Visual,BSIT,"Accounting, Finance",Pass,Safe,0.4
1068,23.0,Female,Middle,College,0.91,5.1,81.7,0.5,0.71,Yes,Stable,Smartphone,82.3,Moderate,68.4,Reading,BSBA,"Programming, AI",Fail,Safe,0.35
1069,22.0,Female,Low,College,0.59,13.3,42.9,0.41,0.36,Yes,Stable,Laptop,87.3,Hard,43.6,Visual,BSA,"Teaching, Research",Fail,At Risk,0.79
1070,24.0,Male,Low,College,0.62,9.0,72.0,0.79,0.8,No,Limited,Smartphone,51.8,Easy,80.3,Kinesthetic,BSBA,"Programming, AI",Pass,At Risk,0.5
1071,23.0,Female,Middle,Graduate,0.82,3.5,97.7,0.6,0.58,No,Stable,Laptop,89.2,Easy,74.9,Kinesthetic,BSBA,"Programming, AI",Fail,Moderate,0.52
1072,20.0,Female,Low,College,0.95,18.1,46.6,0.73,0.98,No,Stable,Laptop,61.6,Easy,99.4,Reading,BSA,"Game Dev, Robotics",Pass,Safe,0.07
1073,17.0,Female,Low,College,0.66,14.1,93.7,0.7,0.88,No,Stable,Tablet,79.9,Moderate,54.3,Visual,BSED,"Game Dev, Robotics",Fail,Moderate,0.42
1074,20.0,Female,Middle,College,0.79,14.0,99.5,0.45,0.67,No,Limited,Laptop,86.0,Moderate,71.8,Visual,BSBA,"Accounting, Finance",Fail,Moderate,0.47
1075,23.0,Male,High,High School,0.84,16.6,43.7,0.64,0.39,No,Stable,Laptop,79.8,Easy,79.1,Reading,BSED,"Leadership, Marketing",Pass,Moderate,0.67
1076,25.0,Female,Low,High School,0.73,11.1,93.0,0.53,0.9,Yes,Stable,Desktop,54.2,Easy,78.7,Auditory,BSA,"Programming, AI",Pass,Moderate,0.34
1077,24.0,Female,Low,High School,0.86,16.5,71.0,0.65,0.86,No,Limited,Laptop,76.8,Hard,73.7,Visual,BSIT,"Leadership, Marketing",Fail,Safe,0.26
1078,24.0,Male,Middle,High School,0.95,10.5,94.4,0.52,0.43,No,Stable,Laptop,74.7,Hard,86.6,Auditory,BSIT,"Accounting, Finance",Pass,Safe,0.59
1079,16.0,Male,High,High School,0.81,2.3,74.3,0.9,0.51,Yes,Limited,Desktop,90.5,Hard,52.3,Visual,BSBA,"Programming, AI",Fail,Moderate,0.59
1080,24.0,Female,Middle,High School,0.77,8.7,79.7,0.5,0.86,Yes,Limited,Laptop,68.2,Hard,83.5,Visual,BSA,"Programming, AI",Pass,Moderate,0.34
1081,22.0,Female,Middle,College,0.72,10.5,72.6,0.98,0.43,No,None,Smartphone,64.4,Moderate,77.2,Visual,BSED,"Leadership, Marketing",Pass,Moderate,0.69
1082,24.0,Female,Middle,College,0.79,14.7,91.9,0.65,0.94,Yes,Stable,Desktop,83.7,Easy,93.8,Visual,BSBA,"Teaching, Research",Pass,Moderate,0.26
1083,23.0,Female,Low,Elementary,0.68,3.0,84.0,0.91,0.6,Yes,Limited,Desktop,68.6,Moderate,90.8,Kinesthetic,BSA,"Game Dev, Robotics",Pass,Moderate,0.59
1084,16.0,Female,High,High School,0.7,3.7,71.3,0.78,0.36,No,Stable,Smartphone,79.1,Moderate,58.9,Auditory,BSA,"Teaching, Research",Fail,Moderate,0.75
1085,23.0,Female,High,Elementary,0.77,6.0,92.1,0.84,0.87,No,Stable,Laptop,79.1,Moderate,56.6,Auditory,BSED,"Leadership, Marketing",Fail,Moderate,0.33
1086,23.0,Male,Low,High School,0.53,6.1,54.7,0.86,0.56,No,Stable,Laptop,90.0,Moderate,98.9,Visual,BSBA,"Game Dev, Robotics",Pass,At Risk,0.7
1087,18.0,Female,Low,High School,0.61,14.9,49.4,0.7,0.67,No,Limited,Tablet,76.9,Easy,71.6,Visual,BSA,"Teaching, Research",Fail,At Risk,0.59
1088,16.0,Female,High,College,0.77,5.8,49.6,0.73,0.38,Yes,Stable,Tablet,72.6,Moderate,94.4,Auditory,BSA,"Game Dev, Robotics",Pass,Moderate,0.71
1089,23.0,Male,Middle,High School,0.72,13.0,60.0,0.71,0.3,No,Stable,Smartphone,56.2,Moderate,49.8,Kinesthetic,BSA,"Programming, AI",Fail,Moderate,0.78
1090,18.0,Male,Middle,College,0.67,10.4,54.3,0.75,0.75,Yes,Stable,Laptop,55.2,Moderate,78.6,Reading,BSED,"Teaching, Research",Pass,Moderate,0.5
1091,18.0,Male,Middle,Graduate,0.87,11.9,95.8,0.42,0.66,No,Limited,Laptop,56.9,Moderate,88.6,Reading,BSBA,"Game Dev, Robotics",Pass,Safe,0.43
1092,16.0,Male,Middle,Elementary,0.85,16.9,46.4,0.64,0.72,No,Limited,Laptop,57.7,Moderate,96.8,Auditory,BSBA,"Game Dev, Robotics",Pass,Moderate,0.39
1093,20.0,Female,High,College,0.58,8.7,81.9,0.76,0.86,Yes,Limited,Smartphone,78.7,Easy,60.2,Visual,BSBA,"Game Dev, Robotics",Fail,At Risk,0.5
1094,25.0,Female,High,College,0.94,15.6,51.4,0.76,0.75,Yes,Stable,Laptop,83.3,Easy,83.5,Visual,BSBA,"Teaching, Research",Pass,Safe,0.3
1095,22.0,Female,High,High School,0.75,9.0,92.9,0.88,0.42,Yes,Stable,Desktop,73.8,Hard,72.3,Kinesthetic,BSIT,"Accounting, Finance",Fail,Moderate,0.68
1096,25.0,Female,Middle,High School,0.87,7.7,97.7,0.79,0.55,Yes,Limited,Smartphone,87.3,Moderate,43.6,Reading,BSIT,"Teaching, Research",Fail,Safe,0.52
1097,24.0,Female,High,College,0.79,19.2,67.9,1.0,0.93,Yes,Stable,Laptop,94.6,Easy,81.4,Kinesthetic,BSBA,"Leadership, Marketing",Pass,Moderate,0.27
1098,22.0,Female,Middle,College,1.0,4.5,92.7,0.57,0.84,No,Stable,Smartphone,86.9,Hard,81.4,Reading,BSED,"Teaching, Research",Pass,Safe,0.16
1099,24.0,Male,Middle,College,0.88,2.7,40.3,0.62,0.69,No,Limited,Laptop,81.3,Moderate,95.8,Auditory,BSIT,"Game Dev, Robotics",Pass,Safe,0.39
1100,23.0,Female,Low,Graduate,0.85,15.6,89.2,0.63,0.48,Yes,None,Smartphone,74.0,Moderate,69.8,Reading,BSA,"Programming, AI",Fail,Moderate,0.59
1101,17.0,Male,High,College,0.89,2.3,53.7,0.68,0.51,Yes,Limited,Smartphone,70.2,Easy,53.8,Kinesthetic,BSIT,"Teaching, Research",Fail,Safe,0.55
1102,16.0,Male,High,Graduate,0.57,16.9,94.5,0.9,0.81,Yes,Limited,Tablet,53.8,Moderate,42.7,Kinesthetic,BSA,"Teaching, Research",Fail,At Risk,0.54
1103,22.0,Female,Middle,College,0.6,9.3,40.1,0.54,0.9,No,None,Tablet,68.0,Moderate,64.9,Kinesthetic,BSBA,"Game Dev, Robotics",Fail,At Risk,0.46
1104,22.0,Male,High,College,0.86,18.4,73.4,0.87,0.77,Yes,Stable,Laptop,91.0,Moderate,58.1,Auditory,BSIT,"Programming, AI",Fail,Safe,0.34
1105,23.0,Female,Middle,College,0.75,14.7,85.4,0.64,0.87,No,Stable,Laptop,86.4,Hard,85.7,Reading,BSED,"Programming, AI",Pass,Moderate,0.35
1106,20.0,Male,Low,Elementary,0.88,12.6,55.5,0.76,0.84,No,None,Smartphone,59.7,Moderate,61.3,Reading,BSIT,"Leadership, Marketing",Fail,Safe,0.26
1107,18.0,Female,Low,College,0.55,19.0,51.6,0.78,0.4,No,Stable,Laptop,71.0,Moderate,96.9,Kinesthetic,BSIT,"Teaching, Research",Pass,At Risk,0.78
1108,23.0,Male,Low,College,0.77,8.5,45.0,0.62,0.6,No,Limited,Laptop,86.8,Easy,97.7,Reading,BSIT,"Programming, AI",Pass,Moderate,0.54
1109,21.0,Female,Middle,High School,0.69,19.1,59.6,0.71,0.41,Yes,Stable,Laptop,53.0,Moderate,77.3,Visual,BSBA,"Programming, AI",Pass,Moderate,0.72
1110,18.0,Female,Low,Graduate,0.73,3.6,73.6,0.65,0.46,No,Stable,Smartphone,67.4,Easy,95.7,Visual,BSED,"Accounting, Finance",Pass,Moderate,0.66
1111,16.0,Female,Middle,High School,0.8,10.2,47.0,0.44,0.91,Yes,Limited,Laptop,88.3,Moderate,85.7,Visual,BSIT,"Accounting, Finance",Pass,Moderate,0.27
1112,18.0,Female,Middle,College,0.75,6.1,62.6,0.66,0.63,Yes,None,Smartphone,68.2,Hard,72.8,Reading,BSED,"Programming, AI",Fail,Moderate,0.53
1113,20.0,Female,Middle,College,0.77,11.3,40.5,0.46,0.67,No,Limited,Desktop,53.5,Moderate,50.8,Auditory,BSBA,"Leadership, Marketing",Fail,Moderate,0.48
1114,18.0,Male,Middle,College,0.74,4.1,89.1,0.64,0.42,No,Stable,Laptop,74.4,Moderate,67.5,Auditory,BSA,"Programming, AI",Fail,Moderate,0.69
1115,16.0,Male,Middle,High School,0.7,17.0,47.7,0.76,0.52,No,Limited,Laptop,88.8,Easy,73.7,Auditory,BSIT,"Game Dev, Robotics",Fail,Moderate,0.64
1116,20.0,Male,Middle,College,0.89,17.1,57.0,0.75,0.46,Yes,Stable,Laptop,76.6,Moderate,91.8,Auditory,BSED,"Teaching, Research",Pass,Safe,0.59
1117,25.0,Female,Low,College,0.51,19.1,41.1,0.8,0.44,Yes,Stable,Tablet,60.2,Moderate,68.9,Visual,BSED,"Leadership, Marketing",Fail,At Risk,0.78
1118,22.0,Male,Middle,Elementary,0.8,3.9,65.9,0.46,0.75,No,Stable,Laptop,67.3,Moderate,93.9,Visual,BSBA,"Game Dev, Robotics",Pass,Moderate,0.4
1119,22.0,Female,Middle,Elementary,0.78,12.8,90.4,0.79,0.48,Yes,Stable,Laptop,70.3,Easy,80.5,Kinesthetic,BSIT,"Leadership, Marketing",Pass,Moderate,0.63
1120,24.0,Female,Middle,College,0.86,10.0,63.5,0.59,0.74,No,Stable,Laptop,76.1,Moderate,48.2,Reading,BSA,"Game Dev, Robotics",Fail,Safe,0.36
1121,25.0,Male,High,High School,0.8,7.5,50.8,0.64,0.34,No,None,Smartphone,84.2,Hard,99.7,Reading,BSED,"Teaching, Research",Pass,Moderate,0.73
1122,25.0,Male,Low,High School,0.91,7.7,85.2,0.91,0.4,No,Limited,Laptop,54.4,Moderate,71.6,Auditory,BSIT,"Teaching, Research",Fail,Safe,0.64
1123,18.0,Female,Middle,College,0.98,8.8,87.3,0.41,0.49,Yes,Limited,Smartphone,90.0,Hard,63.5,Visual,BSA,"Accounting, Finance",Fail,Safe,0.52
1124,22.0,Male,High,High School,0.67,14.4,50.4,0.75,0.72,No,Stable,Desktop,50.6,Moderate,79.5,Auditory,BSED,"Game Dev, Robotics",Pass,Moderate,0.52
1125,16.0,Female,Middle,College,0.61,12.4,86.3,0.76,0.77,Yes,None,Laptop,66.7,Moderate,46.5,Kinesthetic,BSED,"Accounting, Finance",Fail,At Risk,0.53
1126,19.0,Female,Middle,High School,0.71,9.7,96.8,0.64,0.61,No,None,Tablet,51.2,Moderate,78.2,Reading,BSA,"Game Dev, Robotics",Pass,Moderate,0.57
1127,19.0,Female,Middle,College,0.64,2.4,50.0,0.54,0.61,No,Limited,Laptop,67.7,Moderate,69.9,Reading,BSA,"Accounting, Finance",Fail,At Risk,0.61
1128,20.0,Female,Middle,High School,0.81,2.5,86.3,0.54,0.81,No,Stable,Tablet,73.7,Moderate,64.4,Auditory,BSBA,"Teaching, Research",Fail,Moderate,0.34
1129,22.0,Female,Middle,College,0.96,1.0,82.5,0.93,0.31,Yes,Stable,Smartphone,73.0,Moderate,97.2,Kinesthetic,BSIT,"Leadership, Marketing",Pass,Safe,0.7
1130,22.0,Male,Low,High School,0.57,19.4,68.4,0.67,0.54,No,Stable,Tablet,57.5,Moderate,71.4,Reading,BSIT,"Accounting, Finance",Fail,At Risk,0.69
1131,19.0,Male,Low,College,0.55,1.1,43.5,0.6,0.87,No,Stable,Laptop,79.1,Moderate,53.1,Kinesthetic,BSBA,"Game Dev, Robotics",Fail,At Risk,0.52
1132,22.0,Female,Middle,High School,0.63,3.0,44.5,0.67,0.72,Yes,Stable,Laptop,52.0,Easy,67.5,Kinesthetic,BSED,"Game Dev, Robotics",Fail,At Risk,0.55
1133,18.0,Female,High,College,0.86,7.0,91.1,0.8,0.54,Yes,None,Laptop,84.3,Hard,95.2,Auditory,BSA,"Teaching, Research",Pass,Safe,0.54
1134,21.0,Male,Middle,College,0.8,16.3,99.4,0.49,0.93,No,Stable,Laptop,92.6,Moderate,50.6,Visual,BSA,"Game Dev, Robotics",Fail,Moderate,0.26
1135,17.0,Male,Low,Graduate,0.55,19.3,80.6,0.67,0.84,No,Stable,Laptop,65.3,Moderate,52.8,Auditory,BSA,"Programming, AI",Fail,At Risk,0.54
1136,25.0,Female,Middle,College,0.96,16.0,66.8,0.75,0.49,No,Stable,Laptop,73.3,Easy,40.8,Visual,BSED,"Leadership, Marketing",Fail,Safe,0.53
1137,24.0,Male,Middle,High School,0.9,14.1,78.9,0.97,0.75,Yes,Stable,Laptop,67.1,Hard,40.9,Kinesthetic,BSA,"Accounting, Finance",Fail,Safe,0.32
1138,20.0,Female,Low,College,0.51,10.9,75.7,0.55,0.72,Yes,Stable,Laptop,50.3,Hard,89.8,Visual,BSA,"Leadership, Marketing",Pass,At Risk,0.63
1139,21.0,Male,Middle,High School,0.83,2.6,63.0,0.62,0.58,No,Stable,Tablet,67.4,Moderate,83.9,Kinesthetic,BSBA,"Teaching, Research",Pass,Moderate,0.52
1140,19.0,Female,Middle,High School,0.89,19.2,43.9,0.63,0.56,Yes,Stable,Laptop,85.6,Moderate,61.3,Reading,BSED,"Accounting, Finance",Fail,Safe,0.5
1141,25.0,Male,Middle,Elementary,0.69,15.4,89.3,0.76,0.54,No,Limited,Laptop,76.8,Moderate,81.9,Reading,BSIT,"Accounting, Finance",Pass,Moderate,0.63
1142,22.0,Female,Middle,College,0.53,13.1,62.3,0.61,0.73,No,None,Laptop,54.6,Easy,63.7,Reading,BSBA,"Programming, AI",Fail,At Risk,0.61
1143,24.0,Male,Low,College,0.54,15.4,89.1,0.72,0.61,No,Stable,Laptop,88.1,Easy,97.2,Auditory,BSBA,"Teaching, Research",Pass,At Risk,0.67
1144,22.0,Male,Low,High School,0.55,14.8,55.2,0.87,0.88,No,Stable,Desktop,73.9,Moderate,98.0,Auditory,BSIT,"Game Dev, Robotics",Pass,At Risk,0.52
1145,16.0,Female,Low,College,0.92,13.1,40.1,0.82,0.77,No,Limited,Laptop,87.9,Moderate,63.6,Kinesthetic,BSBA,"Programming, AI",Fail,Safe,0.29
1146,16.0,Male,High,High School,0.96,19.6,49.5,0.67,0.35,Yes,Stable,Smartphone,76.1,Moderate,91.3,Reading,BSED,"Programming, AI",Pass,Safe,0.66
1147,24.0,Female,High,High School,0.56,18.2,68.1,0.92,0.75,No,Stable,Desktop,75.2,Hard,86.4,Auditory,BSA,"Leadership, Marketing",Pass,At Risk,0.58
